date,split,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_remainder,historical_prior_target,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,is_holiday,is_before_holiday,is_after_holiday,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_month_start,is_month_end,HDD,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,rolling_min_7,rolling_max_7
2006-12-16,train,1209.176,34.922,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,14680.933333333334,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.2593382659754056,0.9657865518844574,1,0,0,12.5,2187.637844155844,2140.5808169014085,2082.883625,2153.767857019171,2134.3601882814155,2121.231280922108,388.6175669359352,448.0336085443006,1569.6795064935066,2922.701974025974
2006-12-17,train,3390.46,226.006,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,36946.666666666664,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.2426868445825954,0.9701046827361175,1,0,0,12.5,1209.176,2140.5808169014085,2082.883625,1209.176,1209.176,1209.176,388.6175669359352,448.0336085443006,1209.176,1209.176
2006-12-18,train,2203.826,161.792,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,19028.433333333334,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.0,1.0,-2.4492935982947064e-16,1.0,-0.22596360824801906,0.974135744004672,0,0,0,12.5,3390.46,2140.5808169014085,2082.883625,2299.818,2299.818,2299.818,1542.4007080937172,1542.4007080937172,1209.176,3390.46
2006-12-19,train,1666.194,150.942,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.900000000001,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,0,0,0,12.5,2203.826,2140.5808169014085,2082.883625,2267.8206666666665,2267.8206666666665,2267.8206666666665,1092.0492022731087,1092.0492022731087,1209.176,3390.46
2006-12-20,train,2225.748,160.998,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,20384.800000000003,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.19232150523909483,0.9813319716704275,0,0,0,12.5,1666.194,2140.5808169014085,2082.883625,2117.4139999999998,2117.4139999999998,2117.4139999999998,941.029384044232,941.029384044232,1209.176,3390.46
2006-12-21,train,1717.112,144.166,241.04228472222223,5.028194444444445,1765.0,2623.0,10421.0,13809.533333333333,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.17541259380427843,0.9844950085880858,0,0,0,12.5,2225.748,2140.5808169014085,2082.883625,2139.0808,2139.0808,2139.0808,816.3941923710628,816.3941923710628,1209.176,3390.46
2006-12-22,train,2341.338,186.906,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.300000000003,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.15845177496083632,0.9873667175937016,0,0,0,12.5,1717.112,2140.5808169014085,2082.883625,2068.7526666666668,2068.7526666666668,2068.7526666666668,750.2505314217822,750.2505314217822,1209.176,3390.46
2006-12-23,train,4773.386,221.47,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,61736.433333333334,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.14144406768794202,0.9899462489023779,1,0,0,12.5,2341.338,1209.176,2082.883625,2107.6934285714283,2107.6934285714283,2107.6934285714283,692.5878263052895,692.5878263052895,1209.176,3390.46
2006-12-24,train,2550.012,149.9,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,28824.199999999997,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,1,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.12439450483979998,0.9922328391893008,1,0,0,12.5,4773.386,3390.46,2082.883625,2616.866285714286,2440.905,2440.905,1107.6891644051466,1139.9088094840872,1666.194,4773.386
2006-12-25,train,2743.12,240.28,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666664,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,1,0,0,0.0,1.0,-2.4492935982947064e-16,1.0,-0.10730813165636247,0.9942258118156161,0,0,0,12.5,2550.012,2203.826,2082.883625,2496.802285714286,2453.0280000000002,2453.0280000000002,1054.1162508398074,1066.9071123382766,1666.194,4773.386
