date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_remainder,historical_prior_target,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,is_holiday,is_before_holiday,is_after_holiday,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_month_start,is_month_end,HDD,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_30,rolling_min_7,rolling_max_7
2006-12-16,1209.176,34.922,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,14680.933333333334,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.2593382659754056,0.9657865518844574,1,0,0,12.5,2187.637844155844,2140.5808169014085,2082.883625,2153.767857019171,2134.3601882814155,2121.231280922108,388.6175669359352,448.0336085443006,1569.6795064935066,2922.701974025974
2006-12-17,3390.46,226.006,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,36946.666666666664,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.2426868445825954,0.9701046827361175,1,0,0,12.5,1209.176,2140.5808169014085,2082.883625,1209.176,1209.176,1209.176,388.6175669359352,448.0336085443006,1209.176,1209.176
2006-12-18,2203.826,161.792,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,19028.433333333334,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.0,1.0,-2.4492935982947064e-16,1.0,-0.22596360824801906,0.974135744004672,0,0,0,12.5,3390.46,2140.5808169014085,2082.883625,2299.818,2299.818,2299.818,1542.4007080937172,1542.4007080937172,1209.176,3390.46
2006-12-19,1666.194,150.942,241.9993125,4.926388888888889,839.0,7602.0,6197.0,13131.900000000001,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,0,0,0,12.5,2203.826,2140.5808169014085,2082.883625,2267.8206666666665,2267.8206666666665,2267.8206666666665,1092.0492022731087,1092.0492022731087,1209.176,3390.46
2006-12-20,2225.748,160.998,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,20384.800000000003,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.19232150523909483,0.9813319716704275,0,0,0,12.5,1666.194,2140.5808169014085,2082.883625,2117.4139999999998,2117.4139999999998,2117.4139999999998,941.029384044232,941.029384044232,1209.176,3390.46
2006-12-21,1717.112,144.166,241.04228472222223,5.028194444444445,1765.0,2623.0,10421.0,13809.533333333333,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.17541259380427843,0.9844950085880858,0,0,0,12.5,2225.748,2140.5808169014085,2082.883625,2139.0808,2139.0808,2139.0808,816.3941923710628,816.3941923710628,1209.176,3390.46
2006-12-22,2341.338,186.906,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,24390.300000000003,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.15845177496083632,0.9873667175937016,0,0,0,12.5,1717.112,2140.5808169014085,2082.883625,2068.7526666666668,2068.7526666666668,2068.7526666666668,750.2505314217822,750.2505314217822,1209.176,3390.46
2006-12-23,4773.386,221.47,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,61736.433333333334,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.14144406768794202,0.9899462489023779,1,0,0,12.5,2341.338,1209.176,2082.883625,2107.6934285714283,2107.6934285714283,2107.6934285714283,692.5878263052895,692.5878263052895,1209.176,3390.46
2006-12-24,2550.012,149.9,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,28824.199999999997,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,1,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.12439450483979998,0.9922328391893008,1,0,0,12.5,4773.386,3390.46,2082.883625,2616.866285714286,2440.905,2440.905,1107.6891644051466,1139.9088094840872,1666.194,4773.386
2006-12-25,2743.12,240.28,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,31341.666666666664,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,1,0,0,0.0,1.0,-2.4492935982947064e-16,1.0,-0.10730813165636247,0.9942258118156161,0,0,0,12.5,2550.012,2203.826,2082.883625,2496.802285714286,2453.0280000000002,2453.0280000000002,1054.1162508398074,1066.9071123382766,1666.194,4773.386
2006-12-26,3934.11,165.102,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,46970.5,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,1,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.09019000427034513,0.9959245770286599,0,0,0,12.5,2743.12,1666.194,2082.883625,2573.844285714286,2482.0371999999998,2482.0371999999998,1048.829144470111,1010.0640421105102,1666.194,4773.386
2006-12-27,1528.76,178.902,243.76736111111111,4.5175,0.0,314.0,6976.0,18189.333333333332,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.07304518821104743,0.9973286321364752,0,0,0,12.5,3934.11,2225.748,2082.883625,2897.8322857142857,2614.043818181818,2614.043818181818,1071.7564749073854,1053.5130051071812,1717.112,4773.386
2006-12-28,2072.638,208.876,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,18741.966666666667,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.05587875690537313,0.9984375616565666,0,0,0,12.5,1528.76,1717.112,2082.883625,2798.262571428572,2523.6035,2523.6035,1172.265213836138,1052.2091077811224,1528.76,4773.386
2006-12-29,3174.392,196.394,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,35163.53333333333,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.03869579017652689,0.9992510374388481,0,0,0,12.5,2072.638,2341.338,2082.883625,2849.052,2488.9138461538464,2488.9138461538464,1124.3384638384773,1015.1481877280978,1528.76,4773.386
2006-12-30,2801.738,312.75600000000003,240.53632638888888,8.317083333333333,3148.0,7929.0,12516.0,23102.63333333333,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,0,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.021501372740813793,0.999768818762748,1,0,0,12.5,3174.392,4773.386,1209.176,2968.0597142857146,2537.8765714285714,2537.8765714285714,1105.5733538898442,992.379717084274,1528.76,4773.386
2006-12-31,3494.196,150.852,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,51387.6,2426.7346382978726,67.3,10.0,6.0,3.0,0.0,0,1,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.004300592702981974,0.9999907524084426,1,0,1,12.5,2801.738,2550.012,3390.46,2686.3957142857143,2651.6310000000003,2555.4673333333335,768.8597940530107,958.7048133276081,1528.76,3934.11
2007-01-01,2749.004,148.166,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,39584.73333333333,2144.6125806451614,30.3,11.0,1.0,0.0,0.0,1,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0,1,0,13.1,3494.196,2743.12,2203.826,2821.279142857143,2659.0407142857143,2614.137875,821.9345377849805,955.4665407585187,1528.76,3934.11
2007-01-02,1269.236,190.342,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,14243.933333333334,2144.6125806451614,30.3,11.0,1.0,0.0,0.0,0,0,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,0,0,0,13.1,2749.004,3934.11,1666.194,2822.119714285714,2697.982,2622.0711764705884,821.8442882893967,925.7045828610926,1528.76,3934.11
2007-01-03,1014.054,196.728,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,11791.900000000001,2144.6125806451614,30.3,11.0,1.0,0.0,0.0,0,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.051584366869408364,0.9986686402879997,0,0,0,13.1,1269.236,1528.76,2225.748,2441.4234285714288,2669.627857142857,2546.913666666667,837.9524654415775,952.9937623195035,1269.236,3494.196
2007-01-04,3259.412,202.302,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,34779.53333333333,2144.6125806451614,30.3,11.0,1.0,0.0,0.0,0,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.06875540848113941,0.9976335468520451,0,0,0,13.1,1014.054,2072.638,1717.112,2367.8940000000002,2583.0782857142854,2466.2368421052633,946.8869098035584,990.6603688288637,1014.054,3494.196
